Feature Name                                 Since   First Commit Timestamp     Latest Commit Timestamp
rust1                                        1.0.0   2014-09-07 14:57:26 -0700  2019-03-29 15:57:14 -0700
env                                          1.0.0   2015-02-27 10:59:59 -0800  2016-02-19 16:08:36 -0800
process                                      1.0.0   2015-02-27 16:23:21 -0800  2015-02-27 16:23:21 -0800
ip_u32                                       1.1.0   2015-04-20 20:37:58 -0700  2015-04-20 20:37:58 -0700
receiver_into_iter                           1.1.0   2015-04-21 02:01:06 +1000  2015-11-16 19:54:28 +0300
fmt_write_char                               1.1.0   2015-04-21 18:16:08 +0200  2015-04-21 18:16:08 +0200
from_raw_os                                  1.1.0   2015-05-05 20:25:14 -0400  2018-07-07 06:50:55 +0200
symlink                                      1.1.0   2015-05-20 21:50:18 -0400  2016-10-27 20:57:49 -0600
dir_entry_ext                                1.1.0   2015-05-27 16:29:55 -0700  2015-11-16 19:54:28 +0300
file_type                                    1.1.0   2015-05-27 16:29:55 -0700  2015-05-27 16:29:55 -0700
fs_ext                                       1.1.0   2015-05-27 16:29:55 -0700  2016-10-27 20:57:49 -0600
metadata_ext                                 1.1.0   2015-05-27 16:29:55 -0700  2018-07-30 15:50:51 +0200
raw_ext                                      1.1.0   2015-05-27 16:29:55 -0700  2018-07-30 15:50:51 +0200
raw_os                                       1.1.0   2015-05-27 16:29:55 -0700  2018-09-02 22:06:32 +0100
set_permissions                              1.1.0   2015-05-27 16:29:55 -0700  2015-05-27 16:29:55 -0700
symlink_metadata                             1.1.0   2015-05-27 16:29:55 -0700  2015-05-27 16:29:55 -0700
box_borrow                                   1.1.0   2017-07-10 02:07:29 +0100  2017-07-10 02:07:29 +0100
split_whitespace                             1.1.0   2018-04-05 19:00:48 +0200  2018-04-07 21:56:02 +0200
iter_cloned                                  1.1.0   2018-12-17 17:23:12 -0500  2018-12-17 17:23:12 -0500
debug_builders                               1.2.0   2015-05-19 21:57:39 -0700  2015-11-16 21:01:06 +0300
cell_eq                                      1.2.0   2015-05-24 10:38:59 +0200  2015-05-24 10:38:59 +0200
io_invalid_data                              1.2.0   2015-05-30 15:09:13 +0300  2015-05-30 15:09:13 +0300
extend_ref                                   1.2.0   2015-06-03 12:38:42 +0200  2016-09-28 11:28:42 +0100
process_extensions                           1.2.0   2015-06-09 16:41:14 -0700  2016-10-27 20:57:49 -0600
num_wrapping                                 1.2.0   2015-06-10 18:31:15 -0700  2018-02-11 22:08:32 +0100
sync_poison                                  1.2.0   2015-06-10 18:43:08 -0700  2015-06-10 18:43:08 -0700
once_new                                     1.2.0   2015-06-10 18:44:11 -0700  2015-06-10 18:44:11 -0700
str_matches                                  1.2.0   2015-06-10 18:49:26 -0700  2018-04-07 21:56:02 +0200
iter_empty                                   1.2.0   2016-04-18 20:08:27 +0200  2016-04-18 20:08:27 +0200
iter_once                                    1.2.0   2016-04-18 20:08:27 +0200  2016-04-18 20:08:27 +0200
unicode_case_mapping                         1.2.0   2017-06-13 15:52:59 -0700  2017-06-13 15:52:59 -0700
duration                                     1.3.0   2015-07-05 23:20:00 -0700  2018-02-10 21:20:42 +0000
wrapping_div                                 1.3.0   2015-07-08 15:44:50 +0200  2015-07-08 15:44:50 +0200
cstr_borrow                                  1.3.0   2015-07-09 16:38:55 -0700  2015-07-09 16:38:55 -0700
rename_connect_to_join                       1.3.0   2015-07-11 11:14:23 -0400  2015-07-11 11:14:23 -0400
cstr_debug                                   1.3.0   2015-07-11 22:55:52 +0200  2015-07-11 22:55:52 +0200
atomic_debug                                 1.3.0   2015-07-19 13:11:30 -0300  2016-04-16 05:21:53 +0100
box_slice_clone                              1.3.0   2015-07-26 22:12:00 -0700  2015-07-27 09:06:00 -0700
error_downcast                               1.3.0   2015-07-28 15:44:30 -0700  2015-07-28 15:44:30 -0700
hasher_write                                 1.3.0   2015-07-28 15:44:30 -0700  2015-07-28 15:44:30 -0700
hash_slice                                   1.3.0   2015-07-28 15:44:30 -0700  2015-07-28 15:44:30 -0700
io_error_inner                               1.3.0   2015-07-28 15:44:30 -0700  2015-07-28 15:44:30 -0700
process_id                                   1.3.0   2015-07-28 15:44:30 -0700  2015-07-28 15:44:30 -0700
time                                         1.3.0   2015-11-16 19:54:28 +0300  2015-11-16 19:54:28 +0300
derefmut_for_string                          1.3.0   2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
addr_parse_error_error                       1.4.0   2015-08-24 08:59:45 -0700  2015-08-24 08:59:45 -0700
extend_string                                1.4.0   2015-08-27 08:47:08 -0700  2015-08-27 08:47:08 -0700
hash_extend_copy                             1.4.0   2015-08-29 21:06:11 -0400  2015-08-29 21:06:11 -0400
binaryheap_debug                             1.4.0   2015-09-01 20:26:51 +0300  2015-09-01 20:26:51 +0300
array_borrow                                 1.4.0   2015-09-03 19:35:26 +0300  2015-09-03 19:35:26 +0300
append                                       1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
arc_unique                                   1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
arc_weak                                     1.4.0   2015-09-10 13:26:44 -0700  2016-01-20 06:48:11 +0100
